.,।;.:$s==$d
..,.
;;,\;
...,...
$,৳
1,১
2,২
3,৩
4,৪
5,৫
6,৬
7,৭
8,৮
9,৯
0,০
f,
o,;অ:$s==f;অ:$p!=$c
a,া;আ:$s==f;আ:$p!=$c
i,ি;ই:$s==f;ই:$p!=$c
ii,ী;ঈ:$s==f;ঈ:$p!=$c
u,ু;উ:$s==f;উ:$p!=$c
uff,‌ু
uuff,‌ূ
uu,ূ;ঊ:$s==f;ঊ:$p!=$c
wff,‌ৃ
w,ৃ;ঋ:$s==f;ঋ:$p!=$c
e,ে;এ:$s==f;এ:$p!=$c
oi,ৈ;ই:$p==$c&&$s==f;ঐ:$s==f;ঐ:$p!=$c
oo,ো;ও:$s==f;ও:$p!=$c
ou,ৌ;উ:$p==$c&&$s==f;ঔ:$s==f;ঔ:$p!=$c
ae,্যা;অ্যা:$s==f;অ্যা:$p!=$c
ry,র‌্য
;,
txx,ৎ
xx,্
x,ঃ
q,ং
qq,ঁ
`,‌
``,‍
k,ক্;ক:$s!=$c&&$s!=`
kh,খ্;খ:$s!=$c&&$s!=`
g,গ্;গ:$s!=$c&&$s!=`
gh,ঘ্;ঘ:$s!=$c&&$s!=`
ng,ঙ্;ঙ:$s!=$c&&$s!=`
c,চ্;চ:$s!=$c&&$s!=`
ch,ছ্;ছ:$s!=$c&&$s!=`
j,জ্;জ:$s!=$c&&$s!=`
jh,ঝ্;ঝ:$s!=$c&&$s!=`
nff,ঞ্;ঞ:$s!=$c&&$s!=`
tf,ট্;ট:$s!=$c&&$s!=`
tff,ঠ্;ঠ:$s!=$c&&$s!=`
df,ড্;ড:$s!=$c&&$s!=`
dff,ঢ্;ঢ:$s!=$c&&$s!=`
nf,ণ্;ণ:$s!=$c&&$s!=`
t,ত্;ত:$s!=$c&&$s!=`
th,থ্;থ:$s!=$c&&$s!=`
d,দ্;দ:$s!=$c&&$s!=`
dh,ধ্;ধ:$s!=$c&&$s!=`
n,ন্;ন:$s!=$c&&$s!=`
p,প্;প:$s!=$c&&$s!=`
ph,ফ্;ফ:$s!=$c&&$s!=`
b,ব্;ব:$s!=$c&&$s!=`
bh,ভ্;ভ:$s!=$c&&$s!=`
v,ভ্;ভ:$s!=$c&&$s!=`
m,ম্;ম:$s!=$c&&$s!=`
z,য্;য:$s!=$c&&$s!=`
r,র্;র:$s!=$c&&$s!=`
l,ল্;ল:$s!=$c&&$s!=`
sh,শ্;শ:$s!=$c&&$s!=`
sf,ষ্;ষ:$s!=$c&&$s!=`
s,স্;স:$s!=$c&&$s!=`
h,হ্;হ:$s!=$c&&$s!=`
y,য়্;য়:$s!=z&&$s!=`
rf,ড়্;ড়:$s!=z&&$s!=`
rff,ঢ়্;ঢ়:$s!=z&&$s!=`

ttf,ট্ট্;ট্ট:$s!=$c&&$s!=`
ddf,ড্ড্;ড্ড:$s!=$c&&$s!=`
kkh,ক্ষ্;ক্ষ:$s!=$c&&$s!=`
gg,জ্ঞ্;জ্ঞ:$s!=$c&&$s!=`
ggg,গ্গ্;গ্গ:$s!=$c&&$s!=`
shk,ষ্ক্;ষ্ক:$s!=$c&&$s!=`
shtf,ষ্ট্;ষ্ট:$s!=$c&&$s!=`
shth,ষ্ঠ্;ষ্ঠ:$s!=$c&&$s!=`
shtff,ষ্ঠ্;ষ্ঠ:$s!=$c&&$s!=`
shnf,ষ্ণ্;ষ্ণ:$s!=$c&&$s!=`
shp,ষ্প্;ষ্প:$s!=$c&&$s!=`
shph,ষ্ফ্;ষ্ফ:$s!=$c&&$s!=`
nc,ঞ্চ্;ঞ্চ:$s!=$c&&$s!=`
nch,ঞ্ছ্;ঞ্ছ:$s!=$c&&$s!=`
nj,ঞ্জ্;ঞ্জ:$s!=$c&&$s!=`
njh,ঞ্ঝ্;ঞ্ঝ:$s!=$c&&$s!=`
